"","id","CRIMETYPE"
"1",185004,"BTFV"
"2",137809,"BTFV"
"3",159499,"BTFV"
"4",19314,"BTFV"
"5",6934,"BTFV"
"6",25168,"BTFV"
"7",141194,"BTFV"
"8",171306,"BTFV"
"9",105833,"BTFV"
"10",231516,"BTFV"
"11",214096,"BTFV"
"12",166350,"BTFV"
"13",161208,"BTFV"
"14",64587,"BTFV"
"15",7646,"BTFV"
"16",170707,"BTFV"
"17",108834,"BTFV"
"18",99951,"BTFV"
"19",133866,"BURG"
"20",217456,"BTFV"
"21",228811,"BTFV"
"22",31188,"BTFV"
"23",9311,"BTFV"
"24",53025,"BTFV"
"25",207389,"BTFV"
"26",181426,"BTFV"
"27",146571,"BTFV"
"28",54876,"BTFV"
"29",140033,"BTFV"
"30",168524,"BTFV"
"31",69072,"BTFV"
"32",126482,"BTFV"
"33",81676,"BTFV"
"34",96279,"BTFV"
"35",18089,"BTFV"
"36",77066,"BTFV"
"37",6350,"BTFV"
"38",194629,"BTFV"
"39",223922,"BTFV"
"40",89005,"BURG"
"41",149013,"BTFV"
"42",55136,"BTFV"
"43",139183,"BTFV"
"44",151611,"BTFV"
"45",66495,"BTFV"
"46",129411,"BTFV"
"47",4805,"BTFV"
"48",202137,"BTFV"
"49",82507,"BTFV"
"50",51855,"BTFV"
"51",44063,"BURG"
"52",68584,"BTFV"
"53",195835,"BTFV"
"54",115227,"BTFV"
"55",135628,"BTFV"
"56",128214,"BTFV"
"57",105423,"BTFV"
"58",144938,"BTFV"
"59",3266,"BTFV"
"60",21260,"BTFV"
"61",71286,"BTFV"
"62",32911,"BURG"
"63",176393,"BTFV"
"64",99147,"BTFV"
"65",6996,"BTFV"
"66",210853,"BTFV"
"67",18391,"BTFV"
"68",39431,"BURG"
"69",169172,"BTFV"
"70",43512,"BURG"
"71",4154,"BTFV"
"72",227527,"BTFV"
"73",7821,"BTFV"
"74",176644,"BTFV"
"75",6040,"BTFV"
"76",111317,"BTFV"
"77",53947,"BTFV"
"78",63614,"BTFV"
"79",48290,"BTFV"
"80",114416,"BTFV"
"81",130616,"BURG"
"82",54541,"BTFV"
"83",178513,"BTFV"
"84",74135,"BTFV"
"85",39538,"BURG"
"86",85699,"BURG"
"87",13710,"BTFV"
"88",52961,"BTFV"
"89",199326,"BTFV"
"90",102296,"BTFV"
"91",148958,"BTFV"
"92",37375,"BURG"
"93",114089,"BTFV"
"94",187521,"BTFV"
"95",2342,"BTFV"
"96",193857,"BTFV"
"97",66642,"BTFV"
"98",38046,"BURG"
"99",83342,"BURG"
"100",23207,"BTFV"
"101",206809,"BTFV"
"102",92454,"BTFV"
"103",13307,"BTFV"
"104",238235,"BTFV"
"105",234045,"BTFV"
"106",112846,"BTFV"
"107",64573,"BTFV"
"108",208211,"BTFV"
"109",190364,"BTFV"
"110",2727,"BTFV"
"111",10248,"BTFV"
"112",107390,"BTFV"
"113",204351,"BTFV"
"114",80813,"BTFV"
"115",36217,"BURG"
"116",48256,"BTFV"
"117",206587,"BTFV"
"118",108534,"BTFV"
"119",104858,"BTFV"
"120",34838,"BURG"
"121",31983,"BTFV"
"122",164269,"BTFV"
"123",192225,"BTFV"
"124",95894,"BTFV"
"125",20297,"BTFV"
"126",141635,"BTFV"
"127",118393,"BTFV"
"128",88386,"BURG"
"129",76493,"BTFV"
"130",213757,"BTFV"
"131",81793,"BTFV"
"132",127181,"BTFV"
"133",137247,"BTFV"
"134",137252,"BTFV"
