"id","CRIMETYPE"
185004,"BURG"
137809,"BURG"
159499,"BURG"
19314,"BURG"
6934,"BURG"
25168,"BURG"
141194,"BURG"
171306,"BURG"
105833,"BURG"
231516,"BURG"
214096,"BURG"
166350,"BURG"
161208,"BURG"
64587,"BURG"
7646,"BURG"
170707,"BURG"
108834,"BURG"
99951,"BURG"
133866,"BURG"
217456,"BURG"
228811,"BURG"
31188,"BURG"
9311,"BURG"
53025,"BURG"
207389,"BURG"
181426,"BURG"
146571,"BURG"
54876,"BURG"
140033,"BURG"
168524,"BURG"
69072,"BURG"
126482,"BURG"
81676,"BURG"
96279,"BURG"
18089,"BURG"
77066,"BURG"
6350,"BURG"
194629,"BURG"
223922,"BURG"
89005,"BURG"
149013,"BURG"
55136,"BURG"
139183,"BURG"
151611,"BURG"
66495,"BURG"
129411,"BURG"
4805,"BURG"
202137,"BURG"
82507,"BURG"
51855,"BURG"
44063,"BURG"
68584,"BURG"
195835,"BURG"
115227,"BURG"
135628,"BURG"
128214,"BURG"
105423,"BURG"
144938,"BURG"
3266,"BURG"
21260,"BURG"
71286,"BURG"
32911,"BURG"
176393,"BURG"
99147,"BURG"
6996,"BURG"
210853,"BURG"
18391,"BURG"
39431,"BURG"
169172,"BURG"
43512,"BURG"
4154,"BURG"
227527,"BURG"
7821,"BURG"
176644,"BURG"
6040,"BURG"
111317,"BURG"
53947,"BURG"
63614,"BURG"
48290,"BURG"
114416,"BURG"
130616,"BURG"
54541,"BURG"
178513,"BURG"
74135,"BURG"
39538,"BURG"
85699,"BURG"
13710,"BURG"
52961,"BURG"
199326,"BURG"
102296,"BURG"
148958,"BURG"
37375,"BURG"
114089,"BURG"
187521,"BURG"
2342,"BURG"
193857,"BURG"
66642,"BURG"
38046,"BURG"
83342,"BURG"
23207,"BURG"
206809,"BURG"
92454,"BURG"
13307,"BURG"
238235,"BURG"
234045,"BURG"
112846,"BURG"
64573,"BURG"
208211,"BURG"
190364,"BURG"
2727,"BURG"
10248,"BURG"
107390,"BURG"
204351,"BURG"
80813,"BURG"
36217,"BURG"
48256,"BURG"
206587,"BURG"
108534,"BURG"
104858,"BURG"
34838,"BURG"
31983,"BURG"
164269,"BURG"
192225,"BURG"
95894,"BURG"
20297,"BURG"
141635,"BURG"
118393,"BURG"
88386,"BURG"
76493,"BURG"
213757,"BURG"
81793,"BURG"
127181,"BURG"
137247,"BURG"
137252,"BURG"
32146,"BURG"
51692,"BURG"
76408,"BURG"
47865,"BURG"
125573,"BURG"
166793,"BURG"
62449,"BURG"
7641,"BURG"
230598,"BURG"
91072,"BURG"
218136,"BURG"
96850,"BURG"
85532,"BURG"
107500,"BURG"
62541,"BURG"
188566,"BURG"
235059,"BURG"
237282,"BURG"
150432,"BURG"
75458,"BURG"
44568,"BURG"
18891,"BURG"
216078,"BURG"
103019,"BURG"
41309,"BURG"
184413,"BURG"
75287,"BURG"
52429,"BURG"
95479,"BURG"
80,"BURG"
209243,"BURG"
220281,"BURG"
194414,"BURG"
211629,"BURG"
7536,"BURG"
155884,"BURG"
174931,"BURG"
193476,"BURG"
278,"BURG"
152214,"BURG"
21002,"BURG"
48890,"BURG"
222757,"BURG"
74161,"BURG"
17049,"BURG"
44825,"BURG"
180805,"BURG"
46997,"BURG"
8930,"BURG"
76945,"BURG"
171848,"BURG"
163430,"BURG"
105451,"BURG"
106081,"BURG"
88115,"BURG"
127841,"BURG"
18929,"BURG"
153772,"BURG"
131766,"BURG"
180375,"BURG"
224735,"BURG"
148789,"BURG"
201435,"BURG"
235675,"BURG"
165802,"BURG"
71905,"BURG"
141282,"BURG"
165276,"BURG"
143203,"BURG"
207076,"BURG"
211670,"BURG"
171389,"BURG"
181063,"BURG"
24870,"BURG"
179527,"BURG"
39663,"BURG"
111443,"BURG"
167485,"BURG"
55046,"BURG"
36805,"BURG"
