ADDRESS,REQUEST DATE,COMPLETION DATE,NUMBER OF POTHOLES FILLED ON BLOCK,LATITUDE,LONGITUDE,LOCATION
323 E WACKER DR,02/18/2022 03:40:43 AM,02/21/2022 08:20:11 AM,24,41.887335449,-87.619489611,POINT (-87.619489611472 41.887335449435)
226 E WACKER SUB DR,02/18/2022 08:31:18 AM,02/21/2022 08:21:29 AM,3,41.887995588,-87.621534701,POINT (-87.621534700862 41.887995588088)
233 E WACKER DR,02/17/2022 09:53:22 PM,02/21/2022 08:22:23 AM,13,41.887905199,-87.620663398,POINT (-87.620663397909 41.887905198836)
340 E WACKER DR,02/18/2022 08:34:12 AM,02/21/2022 08:23:04 AM,18,41.887902209,-87.618835761,POINT (-87.618835761053 41.887902208512)
103 S CANAL ST,02/17/2022 12:41:08 PM,02/21/2022 08:24:51 AM,5,41.880418322,-87.639537814,POINT (-87.639537814048 41.880418322106)
20 W KINZIE ST,02/17/2022 08:02:13 AM,02/21/2022 08:26:15 AM,12,41.889495302,-87.628930961,POINT (-87.628930960571 41.889495301729)
6 W KINZIE ST,02/17/2022 08:03:23 AM,02/21/2022 08:26:57 AM,9,41.889500421,-87.62833738,POINT (-87.628337379668 41.889500421217)
932 N MICHIGAN AVE,02/20/2022 10:33:43 AM,02/21/2022 08:27:42 AM,8,41.900141536,-87.624286523,POINT (-87.624286523136 41.900141536238)
400 N LOWER WABASH AVE,02/16/2022 06:42:01 AM,02/21/2022 08:34:52 AM,3,41.88939869,-87.626811905,POINT (-87.626811904679 41.889398690051)
200 E LOWER NORTH WATER ST,02/16/2022 10:17:12 PM,02/21/2022 08:35:50 AM,4,41.89020282,-87.622482088,POINT (-87.622482088021 41.89020281953)
6412 S MAPLEWOOD AVE,02/21/2022 09:46:24 AM,02/21/2022 09:47:34 AM,17,41.776932379,-87.687509593,POINT (-87.687509593467 41.776932378897)
4359 W 83RD ST,02/21/2022 09:56:22 AM,02/21/2022 09:57:15 AM,1,41.741937332,-87.731265633,POINT (-87.73126563286 41.741937331904)
1512 W 83RD ST,02/16/2022 10:26:00 AM,02/21/2022 10:14:37 AM,1,41.743189181,-87.661401541,POINT (-87.661401541182 41.743189181298)
8256 S LAFLIN ST,02/15/2022 02:37:49 PM,02/21/2022 10:15:39 AM,29,41.743251629,-87.661122379,POINT (-87.661122378518 41.743251628844)
1708 W 84TH ST,02/14/2022 01:08:18 PM,02/21/2022 10:17:55 AM,8,41.741302771,-87.666064358,POINT (-87.666064357661 41.741302770887)
1700 W 83RD ST,02/14/2022 10:33:33 AM,02/21/2022 10:19:17 AM,7,41.743278035,-87.666297098,POINT (-87.666297097721 41.743278034937)
1600 W 83RD ST,02/09/2022 08:15:59 AM,02/21/2022 10:20:43 AM,1,41.743162361,-87.663383982,POINT (-87.663383982268 41.743162361304)
1827 W 84TH ST,01/13/2022 03:57:47 PM,02/21/2022 10:23:38 AM,15,41.741098594,-87.669157574,POINT (-87.669157574235 41.741098593675)
1000 W 87TH ST,02/21/2022 10:29:14 AM,02/21/2022 10:30:16 AM,12,41.736091693,-87.648621497,POINT (-87.64862149733 41.73609169315)
1300 W 87TH ST,02/21/2022 10:31:07 AM,02/21/2022 10:32:29 AM,4,41.735986784,-87.655900073,POINT (-87.655900072974 41.735986784219)
1001 W 87TH ST,02/21/2022 10:33:13 AM,02/21/2022 10:34:37 AM,10,41.735927073,-87.648617039,POINT (-87.648617039013 41.735927073465)
801 W 87TH ST,02/21/2022 10:35:13 AM,02/21/2022 10:36:36 AM,13,41.735790764,-87.643670484,POINT (-87.643670483702 41.735790763791)
1300 W 92ND ST,02/21/2022 10:38:00 AM,02/21/2022 10:38:56 AM,36,41.72687306,-87.655642096,POINT (-87.655642096446 41.726873060125)
