Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),,,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),,,,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),,,,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),,,,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),
0.04584275,3.917353821,5.840404816,-0.12457016,,,-0.000413083,-0.556243286,-0.154628449,-0.075771637,,,,0.000355958,-1.515448608,0.445024567,0.17735199,,,,0.000320833,-0.189655609,-0.138462067,0.136037903,,,,0.000151958,0.392334137,0.045804749,0.182740784,
0.05581175,3.889212341,5.740712128,0.001018677,,,0.009555917,-0.66461792,-0.192799072,-0.069933777,,,,0.010324958,-1.365011444,0.572559357,0.027812958,,,,0.010289833,-0.108524323,-0.405806122,0.044727783,,,,0.010120958,0.307161255,0.233813782,0.167023468,
0.06577975,3.797004089,5.548960876,0.140079498,,,0.019524917,-0.742306366,-0.194745026,-0.145526581,,,,0.020293958,-1.13613739,0.655037842,-0.06140152,,,,0.020258833,-0.051941986,-0.573906555,0.017484436,,,,0.020089958,0.223934326,0.294737091,0.191572418,
0.07574775,3.45526474,5.896687775,0.20489471,,,0.029493917,-0.803978119,-0.177081757,-0.00047821,,,,0.030261958,-1.182840271,0.594264221,0.102807007,,,,0.030226833,-0.013471985,-0.602347412,0.09427475,,,,0.030058958,0.199535065,0.157322846,0.099513855,
0.08571675,3.297642517,6.142326965,0.26851242,,,0.039462917,-0.756975861,-0.058228912,0.079904633,,,,0.040230958,-1.177750854,0.545166321,0.085592804,,,,0.040195833,0.11930191,-0.56746994,0.109093933,,,,0.040027958,0.304766235,0.018860779,-0.041642609,
0.09568475,3.039579163,6.283782806,0.186782379,,,0.049431917,-0.670006714,0.02454895,0.168370667,,,,0.050198958,-0.857566681,0.456700287,-0.162740784,,,,0.050164833,0.173489227,-0.473465424,0.151156464,,,,0.049996958,0.40131546,-0.066312103,-0.041792297,
0.10565375,2.930156708,6.368656311,0.006108093,,,0.059400917,-0.551602936,0.019309845,0.25878265,,,,0.060167958,-0.770298157,0.172591095,-0.430982971,,,,0.060132833,0.174986115,-0.320333862,0.20489471,,,,0.059965958,0.380508728,-0.008532257,-0.0789151,
0.11562175,2.908751221,6.243366852,-0.174416504,,,0.069368917,-0.416134644,0.00823288,0.20459534,,,,0.070136958,-0.865200806,0.208516388,-0.36676651,,,,0.070101833,0.177231445,-0.204624481,0.183339539,,,,0.069934958,0.306712189,0.172890472,-0.0099086,
0.12559075,2.753524017,5.971232758,-0.212736816,,,0.079337917,-0.333356781,-0.006137238,0.28497818,,,,0.080105958,-1.23792572,0.470172272,0.2980011,,,,0.080070833,0.143701172,-0.175584869,0.24366409,,,,0.079903958,0.322279816,0.373323669,0.120470276,
0.13555875,2.555186462,5.422773285,-0.103014984,,,0.089306917,-0.326620789,0.060773621,0.28557693,,,,0.090073958,-1.359023895,1.09287735,0.37553986,,,,0.090039833,0.06436615,-0.180075531,0.28452911,,,,0.089872958,0.343086548,0.505349121,0.063289185,
0.14552675,2.538121948,4.992418213,0.096819458,,,0.099275917,-0.412691803,0.165855103,0.34650024,,,,0.100042958,-1.431772614,1.306632843,0.56863831,,,,0.100006917,0.064216461,-0.206570435,0.175855103,,,,0.099841958,0.315244446,0.556392975,0.072569885,
0.15549575,2.715503082,4.748425598,0.20863693,,,0.109244917,-0.506995697,0.23635849,0.39963974,,,,0.110011958,-1.385668488,1.215472412,0.62417282,,,,0.109975917,0.041912842,-0.316891022,0.152952728,,,,0.109810958,0.273032227,0.388142853,0.032004242,
0.16546375,2.878663788,4.40773407,0.30922775,,,0.119213917,-0.547411652,0.276924133,0.38721558,,,,0.119979958,-1.310824127,1.053359528,0.33961456,,,,0.119944917,-0.007185059,-0.413889313,0.082299652,,,,0.119779958,0.278720398,0.038919067,0.107597046,
0.175432542,2.64200592,4.31881897,0.32404694,,,0.129182917,-0.536334686,0.204175415,0.3457518,,,,0.129948958,-1.099014587,0.847238159,0.038440857,,,,0.129912917,-0.014968872,-0.493673401,-0.030415955,,,,0.129748958,0.379460907,-0.279768219,0.140678253,
0.185400542,2.351011047,4.189936981,0.20624191,,,0.139150917,-0.476159821,0.065863037,0.23752686,,,,0.139917958,-1.011446686,0.616867218,0.047571869,,,,0.139881917,0.028740234,-0.601748657,-0.037601013,,,,0.139717958,0.433199158,-0.366437988,-0.036104126,
0.195368542,2.077679443,3.986060944,0.06852829,,,0.149119917,-0.481249237,-0.042062531,0.148312378,,,,0.149885958,-0.940943298,0.412392426,0.52133667,,,,0.149850917,0.103285217,-0.663270721,0.025717316,,,,0.149686958,0.384550324,-0.298928375,-0.090441132,
0.205337542,1.582509155,4.097878418,0.023322296,,,0.159088917,-0.523162079,-0.097297668,0.083646851,,,,0.159854958,-0.860710144,0.675245819,-0.060054321,,,,0.159818917,0.167052612,-0.688268738,0.088287201,,,,0.159655958,0.293090515,-0.221539307,0.007305603,
0.215305542,1.217568054,4.468956757,-0.011854553,,,0.169057917,-0.597407684,-0.105979614,0.081850586,,,,0.169823958,-1.000968475,0.539627838,0.131397552,,,,0.169787917,0.211360474,-0.682430878,0.085742493,,,,0.169624958,0.231418762,-0.126187592,0.041883698,
0.225274542,1.172511749,4.759502563,-0.131755219,,,0.179026917,-0.676143951,-0.063767395,0.076461792,,,,0.179791958,-1.100212097,0.597707062,0.043081207,,,,0.179756917,0.188607788,-0.587228851,0.077958679,,,,0.179593958,0.193248138,-0.00703537,-0.008262024,
0.235242542,0.807870026,4.877157898,-0.125318604,,,0.188995917,-0.714015198,-0.039667511,0.090083466,,,,0.189760958,-1.334474945,0.50310379,-0.032062531,,,,0.189725917,0.031883698,-0.423469391,0.165376892,,,,0.189562958,0.112565918,0.151634674,-0.091189575,
0.245210542,0.595910797,4.534969482,-0.034158173,,,0.198964917,-0.644559631,-0.059576111,0.182142029,,,,0.199729958,-1.490749969,0.393980713,-0.139688721,,,,0.199693917,-0.08307724,-0.27617569,0.1387323,,,,0.199531958,0.014370117,0.341290283,-0.082956696,
0.255179542,0.223784638,3.875740356,-0.011555176,,,0.208932917,-0.494721222,-0.054037628,0.156994324,,,,0.209697958,-1.305435333,0.434546356,-0.348354797,,,,0.209662917,-0.08307724,-0.248183899,0.144869537,,,,0.209500958,-0.01287323,0.466729431,-0.050923309,
0.265147542,-0.055833893,3.500770111,-0.070831909,,,0.218901917,-0.382005615,-0.014220428,0.124511871,,,,0.219666958,-1.009500732,0.484542389,-0.288778687,,,,0.219631917,-0.038170624,-0.310753784,0.24067032,,,,0.219469958,0.027991791,0.467328186,-0.001226654,
0.275116542,-0.512683868,3.429218903,-0.124420471,,,0.228870917,-0.430355072,0.035925293,0.131397552,,,,0.229635958,-0.968486023,0.722248077,0.068079224,,,,0.229599917,0.017363892,-0.345481567,0.27554779,,,,0.229438958,0.088316345,0.284109192,0.193817749,
